#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
  15.388040  0.563840E+00  0.152598E+01
  15.415260  0.558294E+00  0.151289E+01
  15.442470  0.553582E+00  0.150029E+01
  15.469680  0.549593E+00  0.148834E+01
  15.496890  0.546140E+00  0.147717E+01
  15.524100  0.542913E+00  0.146686E+01
  15.551310  0.539606E+00  0.145725E+01
  15.578520  0.536111E+00  0.144814E+01
  15.605740  0.532394E+00  0.143948E+01
  15.632950  0.528008E+00  0.143124E+01
  15.660160  0.522772E+00  0.142241E+01
  15.687370  0.517715E+00  0.141271E+01
  15.714580  0.513090E+00  0.140259E+01
  15.741790  0.508988E+00  0.139217E+01
  15.769000  0.505470E+00  0.138168E+01
  15.796210  0.502468E+00  0.137125E+01
  15.823430  0.499939E+00  0.136095E+01
  15.850640  0.497824E+00  0.135088E+01
  15.877850  0.496015E+00  0.134105E+01
  15.905060  0.494473E+00  0.133140E+01
  15.932270  0.493206E+00  0.132191E+01
  15.959480  0.492236E+00  0.131259E+01
  15.986690  0.491579E+00  0.130346E+01
  16.013910  0.491224E+00  0.129452E+01
  16.041120  0.491191E+00  0.128576E+01
  16.068330  0.491544E+00  0.127717E+01
  16.095540  0.492403E+00  0.126874E+01
  16.122750  0.493976E+00  0.126056E+01
  16.149960  0.496513E+00  0.125287E+01
  16.177170  0.500238E+00  0.124618E+01
  16.204390  0.505169E+00  0.124128E+01
  16.231600  0.510740E+00  0.123939E+01
  16.258810  0.515308E+00  0.124138E+01
  16.286020  0.516433E+00  0.124725E+01
  16.313230  0.511000E+00  0.125454E+01
  16.340440  0.499458E+00  0.125799E+01
  16.367650  0.486406E+00  0.125558E+01
  16.394870  0.474882E+00  0.124917E+01
  16.422080  0.465387E+00  0.124078E+01
  16.449290  0.457578E+00  0.123152E+01
  16.476500  0.451001E+00  0.122181E+01
  16.503710  0.445479E+00  0.121177E+01
  16.530920  0.440987E+00  0.120164E+01
  16.558130  0.437295E+00  0.119166E+01
  16.585350  0.434166E+00  0.118184E+01
  16.612560  0.431502E+00  0.117213E+01
  16.639770  0.429300E+00  0.116251E+01
  16.666980  0.427507E+00  0.115310E+01
  16.694190  0.425942E+00  0.114382E+01
